CountryName,2003 E-Participation Index,2003 E-Government Index,2003 Human Capital Index,2003 Online Service Index,2003 Infrastructure Index,2003 E-Government Rank,2003 Online Service Rank
Norway ,0.345,0.778,0.98,0.581,0.774,7,NULL
Oman ,0.259,0.355,0.67,0.262,0.132,98,NULL
Pakistan ,0.155,0.247,0.42,0.297,0.026,137,NULL
Palau ,0,0.009,0,0.026,0,173,NULL
Panama ,0.362,0.432,0.86,0.341,0.095,62,NULL
Papua New Guinea ,0,0.25,0.55,0.17,0.031,136,NULL
Paraguay ,0.224,0.413,0.83,0.336,0.074,75,NULL
Peru ,0.138,0.463,0.87,0.408,0.111,53,NULL
Philippines ,0.672,0.574,0.91,0.747,0.064,33,NULL
Poland ,0.397,0.576,0.94,0.541,0.248,32,NULL
Portugal ,0.448,0.646,0.94,0.507,0.49,26,NULL
Qatar ,0,0.411,0.79,0.135,0.308,77,NULL
Republic of Korea ,0.483,0.744,0.95,0.607,0.675,13,NULL
Republic of Moldova ,0.034,0.363,0.9,0.07,0.12,95,NULL
Romania ,0.052,0.483,0.88,0.419,0.149,50,NULL
Russian Federation ,0.052,0.443,0.92,0.223,0.185,58,NULL
Rwanda ,0.017,0.244,0.58,0.148,0.003,138,NULL
Saint Kitts and Nevis ,0.034,0.426,0.89,0.14,0.248,67,NULL
Saint Lucia ,0.086,0.438,0.83,0.308,0.176,59,NULL
Saint Vincent and the Grenadines ,0,0.326,0.79,0.052,0.136,111,NULL
Samoa ,0.017,0.299,0.75,0.114,0.034,117,NULL
San Marino ,0.017,0.28,0,0.201,0.64,125,NULL
Sao Tome and Principe ,0,0.272,0.75,0.013,0.054,128,NULL
Saudi Arabia ,0.034,0.338,0.71,0.183,0.119,105,NULL
Senegal ,0.086,0.201,0.37,0.205,0.027,147,NULL
Serbia,0.034,0.371,0.694,0.284,0.134,89,NULL
Seychelles ,0.069,0.42,0.83,0.188,0.241,73,NULL
Sierra Leone ,0,0.126,0.33,0.044,0.005,167,NULL
Singapore ,0.466,0.746,0.87,0.703,0.666,12,NULL
Slovakia ,0.172,0.528,0.91,0.38,0.294,40,NULL
Slovenia ,0.31,0.631,0.94,0.441,0.513,28,NULL
Solomon Islands ,0,0.284,0.68,0.148,0.022,122,NULL
Somalia ,0,0.049,0.096,0.048,0.002,171,NULL
South Africa ,0.259,0.515,0.88,0.539,0.126,45,NULL
Spain ,0.155,0.602,0.97,0.428,0.409,29,NULL
Sri Lanka ,0.293,0.385,0.84,0.279,0.036,84,NULL
Sudan ,0.121,0.206,0.5,0.079,0.04,146,NULL
Suriname ,0,0,0.9,0,0.118,174,NULL
Swaziland ,0,0.295,0.77,0.079,0.037,120,NULL
Sweden ,0.586,0.84,0.99,0.683,0.846,2,NULL
Switzerland ,0.466,0.764,0.94,0.668,0.682,8,NULL
Syrian Arab Republic ,0,0.264,0.71,0.044,0.038,133,NULL
Tajikistan ,0,0,0.88,0,0.046,174,NULL
Thailand ,0.103,0.446,0.84,0.38,0.117,56,NULL
The former Yugoslav Republic of Macedonia ,0.19,0.362,0.86,0.114,0.111,96,NULL
Timor-Leste,0.086,0.087,0,0.262,0,169,NULL
Togo ,0.017,0.231,0.59,0.07,0.034,143,NULL
Tonga ,0,0.391,0.92,0.201,0.051,82,NULL
Trinidad and Tobago ,0.207,0.427,0.84,0.236,0.206,65,NULL
Tunisia ,0.017,0.329,0.72,0.179,0.089,108,NULL
Turkey ,0.207,0.506,0.77,0.555,0.192,49,NULL
Turkmenistan ,0.017,0.335,0.92,0.044,0.042,106,NULL
Tuvalu ,0,0,0,0,0.015,174,NULL
Uganda ,0.034,0.296,0.6,0.279,0.007,119,NULL
Ukraine,0.397,0.462,0.92,0.349,0.116,54,NULL
United Arab Emirates ,0.172,0.535,0.74,0.419,0.444,38,NULL
United Kingdom of Great Britain and Northern Ireland,1,0.814,0.99,0.777,0.675,5,NULL
United Republic of Tanzania ,0.017,0.253,0.61,0.14,0.009,135,NULL
United States of America ,0.966,0.927,0.98,1,0.801,1,NULL
Uruguay ,0.069,0.507,0.92,0.358,0.244,47,NULL
Uzbekistan ,0,0,0.91,0,0.053,174,NULL
Vanuatu ,0.034,0.142,0.35,0.052,0.023,162,NULL
Venezuela ,0.155,0.364,0.83,0.144,0.117,93,NULL
Viet Nam ,0.017,0.357,0.84,0.183,0.048,97,NULL
Yemen ,0.034,0.188,0.48,0.044,0.039,151,NULL
Zambia ,0.017,0.276,0.68,0.127,0.023,127,NULL
Zimbabwe ,0.052,0.304,0.81,0.061,0.042,116,NULL

,,,,"Source: United Nations E-Government Development Knowledge Base, http://www.unpan.org/egovkb",,,
