CountryName,2005 E-Participation Index,2005 E-Government Index,2005 Human Capital Index,2005 Online Service Index,2005 Infrastructure Index,2005 E-Government Rank,2005 Online Service Rank
Solomon Islands ,0,0.2669,0.68,0.1,0.0206,140,149
Somalia ,0,0.0024,0,0,0.0073,180,180
South Africa ,0.3016,0.5075,0.83,0.5692,0.1234,58,42
Spain ,0.0794,0.5847,0.97,0.3923,0.3919,39,71
Sri Lanka ,0.0476,0.395,0.83,0.3192,0.0359,94,80
Sudan ,0.0317,0.237,0.52,0.1615,0.0293,150,135
Suriname ,0,0.3449,0.87,0.05,0.1148,110,170
Swaziland ,0.0317,0.3593,0.74,0.2923,0.0456,108,85
Sweden ,0.5714,0.8983,0.99,0.8654,0.8395,3,9
Switzerland ,0.4286,0.7548,0.95,0.6038,0.7105,17,35
Syrian Arab Republic ,0,0.2871,0.75,0.0654,0.0458,132,161
Tajikistan ,0,0.3346,0.9,0.0615,0.0422,117,163
Thailand ,0.254,0.5518,0.86,0.6654,0.1299,46,26
The former Yugoslav Republic of Macedonia ,0.127,0.4633,0.87,0.3962,0.1237,69,70
Timor-Leste,0.0159,0.2512,0.64,0.1135,0,144,145
Togo ,0,0.2274,0.62,0.0308,0.0313,152,174
Tonga ,0.0159,0.368,0.93,0.1269,0.0472,104,143
Trinidad and Tobago ,0.0794,0.4768,0.87,0.3635,0.1969,66,76
Tunisia ,0,0.331,0.74,0.1538,0.0993,121,139
Turkey ,0.2857,0.496,0.8,0.5231,0.1648,60,46
Turkmenistan ,0,0.3225,0.93,0,0.0375,180,180
Tuvalu ,0,0.037,0,0.0269,0.0841,178,175
Uganda ,0.0476,0.3081,0.7,0.2154,0.009,125,117
Ukraine,0.3651,0.5456,0.94,0.5808,0.1161,48,39
United Arab Emirates ,0.127,0.5718,0.74,0.6115,0.3639,42,32
United Kingdom of Great Britain and Northern Ireland,1,0.8777,0.99,0.9962,0.6471,4,3
United Republic of Tanzania ,0.0317,0.302,0.62,0.275,0.011,127,92
United States of America ,0.9048,0.9062,0.97,1,0.7486,1,1
Uruguay ,0.0635,0.5387,0.94,0.45,0.2261,49,57
Uzbekistan ,0.0317,0.4114,0.91,0.2731,0.051,79,93
Vanuatu ,0.0159,0.1664,0.42,0.05,0.0293,165,171
Venezuela ,0.4286,0.5161,0.86,0.5769,0.1113,55,40
Viet Nam ,0.127,0.364,0.82,0.2231,0.0489,105,115
Yemen ,0,0.2125,0.5,0.0962,0.0413,154,153
Zambia ,0,0.2343,0.68,0,0.023,180,180
Zimbabwe ,0,0.3316,0.79,0.1654,0.0395,120,131
,,,,"Source: United Nations E-Government Development Knowledge Base, http://www.unpan.org/egovkb",,,
